CarModel,Brand,MakeYear,Kms Covered,Cylinder,Price
FORD Ranger Raptor Doble Cabima 2021,FORD,2021,0,,214990000
FORD Ranger Raptor Doble Cabima 2021,FORD,2021,0,,214990000
FORD Ranger Raptor Doble Cabima 2021,FORD,2021,0,,214990000
Mitsubishi Montero  2021,Mitsubishi,2021,100,0,219900000
Renault Duster 2.0 4x2 Polar 2019,Renault,2019,67000,2000,62000000
KIA Sportage Revolution 2.0 Gls 4x2 Mecanica Aire Acondicionado 2016,KIA,2016,48000,2000,63000000
Chevrolet SAIL Ls A.A 2019,Chevrolet,2019,16254,1400,33800000
Chevrolet Astra 1.8 Automatico 2003,Chevrolet,2003,108137,1800,12600000
Dodge Journey 2.4 Sxt 7 Puestos 2015,Dodge,2015,85704,2400,60500000
Mercedes Benz Clase E E230 1985,Mercedes Benz,1985,295000,2300,24900000
KIA Picanto Vibrant 2020,KIA,2020,22439,1200,36800000
Mazda 3 Skyactiv Touring Sedan Aut 2019,Mazda,2019,33500,2000,66900000
Mazda CX-5 2.5 4x4 Automatica Grand Touring Lx 2020,Mazda,2020,24100,2500,119900000
FORD Escape Titanium Ecobost 4x4 2021,FORD,2021,0,,129990000
FORD Explorer Limited 2.3 2021,FORD,2021,0,2300,204990000
FORD Bronco 1.5 Big Bend 4x4 2021,FORD,2021,0,1500,129990000
FORD Ranger 3.2 Xls Mt Diesel 2022,FORD,2022,0,,127990000
FORD Explorer Limited 2.3 2021,FORD,2021,0,2300,204990000
FORD Ranger 2.5 Xls Gas 2022,FORD,2022,0,,104990000
FORD Mustang Gt Premium Fastback 2021,FORD,2021,0,5000,189990000
DFSK Van Cargo 1.2 K05s 2019,DFSK,2019,16800,1200,40800000
KIA Picanto All New 1.0 2019,KIA,2019,48645,1000,29500000
Suzuki Grand Vitara 1.6 Glx Sport 4x4 3p Mecanica 2019,Suzuki,2019,15328,1600,64000000
Mercedes Benz Clase Cla 200 2015,Mercedes Benz,2015,22859,1600,74000000
Renault Duster Dynamique 2.0 4x2 Automatica 2019,Renault,2019,43626,2000,54800000
Volkswagen Jetta Comfortline 2.0 Aut 2007,Volkswagen,2007,110842,2000,21500000
Mitsubishi Outlander PHEV 2017,Mitsubishi,2017,49700,2000,117900000
Nissan Sentra 1.8 Exclusive Automatico 2015,Nissan,2015,51200,1800,48900000
Mazda 3 2.0 Hatchback Automatico 2018,Mazda,2018,55211,2000,62900000
Mitsubishi ASX 2.0 4x2 2015,Mitsubishi,2015,95000,2000,52990000
KIA Sportage Revolution 2.0 Gls 4x2 Automatica Aire Acondiconado 2012,KIA,2012,102000,1995,49000000
Chevrolet Spark Gt Ltz Mecanico Full Equipo 2016,Chevrolet,2016,75000,1200,26300000
Jaguar XE Prestige 2.0 T 2017,Jaguar,2017,9100,1998,118000000
FORD Explorer Limited 2.3 2019,FORD,2019,27000,2300,133000000
JEEP Cherokee Longitude 3.2 Aut 2015,JEEP,2015,53000,3200,73000000
Land Rover Range Rover Sport V8 5.0 Hse 2009,Land Rover,2009,120000,3600,100000000
MG GT 1.5 At 2019,MG,2019,17000,1500,48000000
Mercedes Benz Clase C 250 Cgi 2013,Mercedes Benz,2013,23956,1796,85000000
Renault Sandero 1.6 Dynamique Mecanico 2019,Renault,2019,29000,1598,38000000
JAC Potenza 2.0 2014,JAC,2014,18000,2000,49000000
AUDI Q7 3.0 Quattro Turbo Diesel Special 2011,AUDI,2011,99570,3000,95000000
Toyota Corolla 1.8 Cvt Seg 2021,Toyota,2021,6617,18,93000000
FORD Ecosport 2.0 4x2 Aut Titanium 2019,FORD,2019,21897,2000,70800000
Chevrolet SAIL 1.4 Lt Sedan Mecanico Aire Acondicionado 2018,Chevrolet,2018,54822,1400,32500000
FIAT UNO Way 1.4 Mecanico 2019,FIAT,2019,16059,1400,35800000
Renault Koleos Zen 4x2 2018,Renault,2018,28000,0,88000000
Chevrolet Luv D-Max 3.0 4x4 Doble Cabina Diesel 2013,Chevrolet,2013,140000,3000,66900000
Ssangyong Tivoli  2019,Ssangyong,2019,16064,1600,55000000
Nissan Qashqai 2.0 4x2 Aut 2014,Nissan,2014,100000,2000,80000000
Chevrolet Sonic 1.6 Lt Sedan Mecanico 2016,Chevrolet,2016,61000,1598,35000000
Chevrolet NHR Reward Camion 2022,Chevrolet,2022,100,3000,95800000
JMC Carrying 4.5 Ton Doble Llanta 2022,JMC,2022,100,2800,92000000
KIA Picanto All New 1.25 2018,KIA,2018,8750,1248,34000000
FORD Fiesta Hb Aut Titanium 2017,FORD,2017,55500,1600,46900000
Renault Koleos Dynamique 4x4 Cvt Sportway R-Link 2015,Renault,2015,84000,2500,59900000
Chevrolet Cobalt 1.8 Ltz Aut 2015,Chevrolet,2015,52000,1800,33000000
Suzuki Celerio 1.0 2016,Suzuki,2016,55300,1000,27900000
Mercedes Benz Clase C 200 Cabrio 2020,Mercedes Benz,2020,11800,2000,170000000
Mercedes Benz Clase Cla Amg 45 4matic 2019,Mercedes Benz,2019,12000,2000,167900000
Chevrolet NQR Buseton E5 2015,Chevrolet,2015,20946,5000,250000000
Chevrolet Trail Blazer 4.2 Ltz 4x4 Automatica 2007,Chevrolet,2007,140000,4200,32000000
Nissan X-Trail Exclusive 2020,Nissan,2020,47242,2500,107900000
Citroen C5 Aircross Unique 1.6t Aut 2020,Citroen,2020,20517,1598,100000000
FORD Fiesta 1.6 Powershift Titanium Sporback Automatico 2015,FORD,2015,73316,1600,40900000
FORD Fiesta Hb Titanium Mecanico 2016,FORD,2016,35706,1600,43500000
FORD Fiesta Sedan Titanium Mecanico 2017,FORD,2017,48209,1600,45700000
Renault Stepway Expresion 2017,Renault,2017,75098,1600,41900000
Renault Sandero LIFE 2019,Renault,2019,25781,1600,38800000
Nissan Pathfinder Exclusive 2019,Nissan,2019,3164,3500,139000000
Nissan Tiida 1.8 Confort Sedan Automatico 2012,Nissan,2012,101974,1800,26990000
Nissan Qashqai Exclusive Aut 2018,Nissan,2018,54831,2000,88490000
Chevrolet Captiva Sport 2.4 2014,Chevrolet,2014,100350,2400,39990000
Nissan Versa Advance 2015,Nissan,2015,55407,1600,37490000
Nissan March Sense Aut 2019,Nissan,2019,41275,1600,42490000
Nissan Versa Advance Aut 2012,Nissan,2012,91897,1600,29800000
Nissan Versa Advance Aut 2013,Nissan,2013,53820,1600,33900000
FORD Ecosport 2.0 4x2 Aut Titanium 2020,FORD,2020,3296,2000,75500000
Nissan Versa Sense 2019,Nissan,2019,29983,1600,45990000
Volkswagen GOLF Trendline 1.4 Tsi 2018,Volkswagen,2018,27900,1400,57900000
Suzuki Vitara Live Gl 1.6 4x4 2017,Suzuki,2017,40089,1600,56900000
Changan CS15 Luxury 2019,Changan,2019,29698,1500,42900000
Nissan Qashqai Advance 2017,Nissan,2017,56338,2000,66900000
Nissan Versa Advance Aut 2015,Nissan,2015,85664,1600,36490000
Nissan March Advance 2016,Nissan,2016,52262,1600,36990000
KIA Carens 2.0 Suv 2014,KIA,2014,95756,2000,46900000
Nissan Versa Advance 2020,Nissan,2020,11289,1600,54400000
AUDI A4 2.0 Tfsi Multitronic 2008,AUDI,2008,82134,2000,38800000
Chevrolet Sonic Sedan Lt 2013,Chevrolet,2013,69185,1600,28400000
Nissan Versa Drive 2019,Nissan,2019,60573,1600,39500000
Nissan Versa Advance 2021,Nissan,2021,15234,1600,58500000
Renault Sandero 1.6 Expression Mecanico 2014,Renault,2014,52900,1598,24900000
JAC S2 1.5 2017,JAC,2017,27000,1500,36000000
Renault Duster Expression 1.6 4x2 Mecanica 2013,Renault,2013,82000,1600,37000000
Renault Duster 2.0 Intens 4x2 2020,Renault,2020,15000,2000,60000000
JEEP Willys  1951,JEEP,1951,1000,1400,42000000
Cadillac Escalade  2009,Cadillac,2009,25000,6200,170000000
Mercedes Benz Clase E E250 Coupé Automatico 2018,Mercedes Benz,2018,100,0,145000000
KIA Sedona  2009,KIA,2009,85000,0,44000000
CHEVROLET Sail LS 2015,CHEVROLET,2015,87000,1400,23000000
KIA Sportage  2018,KIA,2018,59000,2000,90000000
Volvo S80  2011,Volvo,2011,75200,2500,40000000
BMW Serie 3 320i Luxury Line Plus 2015,BMW,2015,29000,2000,76000000
Mercedes Benz Clase Glk  2013,Mercedes Benz,2013,44000,300,75000000
FORD Ranger 3.2 Xlt Diesel 2022,FORD,2022,0,3200,144990000
FORD Ranger 2.2 Xl 4x4 Chasis Diesel 2022,FORD,2022,0,2200,112990000
FORD Bronco 2.0 Wildtrak 4x4 2021,FORD,2021,0,1500,159990000
FORD Mustang Gt Premium Fastback 2021,FORD,2021,0,5000,189990000
FORD Bronco 2.0 Wildtrak 4x4 2021,FORD,2021,0,1500,159990000
JMC Landwind  2007,JMC,2007,137443,2400,23000000
Dodge DART  1974,Dodge,1974,900000,2800,32000000
FORD Ranger 2.2 Xl 4x4 Chasis Diesel 2022,FORD,2022,0,2200,112990000
Chevrolet SAIL 1.4 Ltz Sedan Mecanico Full Equipo 2016,Chevrolet,2016,83000,1399,27200000
Chevrolet Optra 1.4 Mecanico Aire Acondicionado 2007,Chevrolet,2007,205000,1399,16500000
Mazda 5 2.0 Wagon Mecanica 2009,Mazda,2009,149000,2000,29500000
Chevrolet Sonic 1.6 Lt Sedan Automatico 2013,Chevrolet,2013,75385,1600,33300000
Mercedes Benz Clase Cla 200 Shooting Brake 2017,Mercedes Benz,2017,19900,1600,82990000
FIAT TIPO Sx 1.6 Mecanico 5p 1995,FIAT,1995,151542,1600,7900000
FORD Explorer Limited 2.3 2018,FORD,2018,37970,2300,132900000
Renault Duster 2.0 4x2 Trip Advisor 2018,Renault,2018,4100000,2000,54900000
Nissan Kicks  2020,Nissan,2020,11539,1600,70990000
KIA Rio Stylus 1.5 Ls Sedan Aire Acondicionado 2015,KIA,2015,80000,1500,27500000
Renault Stepway Dynamique 2015,Renault,2015,100400,1600,34500000
Renault Duster Dynamique 2.0 4x4 Dakar 2019,Renault,2019,21600,2000,64500000
Chevrolet ONIX 1.0 Rs Turbo Hatchback 2021,Chevrolet,2021,16787,1000,56900000
Renault Logan 1.6 Expression 2019,Renault,2019,30695,1600,39900000
Mazda 3 2.0 Sedan Touring Automatico 2016,Mazda,2016,62328,2000,54500000
FORD Explorer  2015,FORD,2015,63000,3500,76900000
Nissan Frontier Np300 Le Turbodiesel 2019,Nissan,2019,1520,2500,140900000
FORD Ranger 3.2 Limited 4x4 Automatica 2019,FORD,2019,37142,3200,135490000
Volkswagen Saveiro 1.6 4x2 Cabina Sencilla Mecanica 2019,Volkswagen,2019,20658,1600,38900000
Nissan Frontier Np300 Le Turbodiesel Aut 2018,Nissan,2018,34685,2500,118900000
Volkswagen GOL Trendline 2019,Volkswagen,2019,21539,1600,37500000
Citroen C4 1.2 Cactus 2018,Citroen,2018,46461,1200,56900000
Renault Twizy Technic 2019,Renault,2019,849,0,43000000
Chevrolet BEAT 1.2 Lt 2020,Chevrolet,2020,70500,1200,33800000
KIA Grand Pregio 3.0 19p 2013,KIA,2013,290000,3000,52500000
Mercedes Benz Clase E E350 2008,Mercedes Benz,2008,55000,3500,75000000
Mazda 3 2.0 Sedan Touring Automatico 2018,Mazda,2018,26000,2000,62900000
Renault Logan Expression Abs 2019,Renault,2019,15300,1600,36300000
Volkswagen Tiguan Track Y Field Automatica Diesel 2011,Volkswagen,2011,100000,2000,53000000
